CMDLINE python test_lib_memoryleak.py
MEM 41.445312 1611149781.7760
MEM 41.445312 1611149782.7828
MEM 41.445312 1611149783.7881
MEM 41.445312 1611149784.7966
MEM 41.445312 1611149785.8059
MEM 41.445312 1611149786.8116
MEM 41.445312 1611149787.8180
MEM 41.445312 1611149788.8241
MEM 41.445312 1611149789.8337
MEM 41.445312 1611149790.8427
MEM 41.445312 1611149791.8524
MEM 41.445312 1611149792.8619
MEM 41.445312 1611149793.8676
MEM 41.445312 1611149794.8748
MEM 41.445312 1611149795.8844
MEM 41.445312 1611149796.8907
MEM 41.445312 1611149797.9000
MEM 41.449219 1611149798.9088
MEM 41.453125 1611149799.9173
MEM 41.457031 1611149800.9234
MEM 41.457031 1611149801.9341
MEM 41.464844 1611149802.9434
MEM 41.468750 1611149803.9507
MEM 41.472656 1611149804.9604
MEM 41.472656 1611149805.9667
MEM 41.476562 1611149806.9734
MEM 41.476562 1611149807.9849
MEM 41.476562 1611149808.9946
MEM 41.476562 1611149810.0042
MEM 41.476562 1611149811.0121
MEM 41.476562 1611149812.0179
MEM 41.476562 1611149813.0257
MEM 41.476562 1611149814.0340
MEM 41.476562 1611149815.0414
MEM 41.476562 1611149816.0500
MEM 41.476562 1611149817.0557
MEM 41.476562 1611149818.0636
MEM 41.476562 1611149819.0697
MEM 41.476562 1611149820.0798
MEM 41.476562 1611149821.0894
MEM 41.484375 1611149822.0970
MEM 41.484375 1611149823.1036
MEM 41.484375 1611149824.1122
MEM 41.484375 1611149825.1184
MEM 41.484375 1611149826.1258
MEM 41.484375 1611149827.1356
MEM 41.484375 1611149828.1424
MEM 41.484375 1611149829.1479
MEM 41.484375 1611149830.1560
MEM 41.500000 1611149831.1633
MEM 41.574219 1611149832.1734
MEM 41.593750 1611149833.1880
MEM 41.597656 1611149834.1962
MEM 41.609375 1611149835.2079
MEM 41.617188 1611149836.2168
MEM 41.617188 1611149837.2231
MEM 41.617188 1611149838.2341
MEM 41.628906 1611149839.2400
MEM 41.628906 1611149840.2465
MEM 41.628906 1611149841.2530
MEM 41.628906 1611149842.2624
MEM 41.640625 1611149843.2684
MEM 41.640625 1611149844.2753
MEM 41.640625 1611149845.2838
MEM 41.640625 1611149846.2914
MEM 41.640625 1611149847.2992
MEM 41.640625 1611149848.3065
MEM 41.640625 1611149849.3124
MEM 41.640625 1611149850.3183
MEM 41.640625 1611149851.3263
MEM 41.640625 1611149852.3334
MEM 41.640625 1611149853.3431
MEM 41.640625 1611149854.3523
MEM 41.640625 1611149855.3584
MEM 41.640625 1611149856.3643
MEM 41.640625 1611149857.3742
MEM 41.640625 1611149858.3838
MEM 41.640625 1611149859.3929
MEM 41.640625 1611149860.4021
MEM 41.640625 1611149861.4099
MEM 41.640625 1611149862.4167
MEM 41.640625 1611149863.4265
MEM 41.640625 1611149864.4334
MEM 41.640625 1611149865.4393
MEM 41.640625 1611149866.4484
MEM 41.640625 1611149867.4582
MEM 41.640625 1611149868.4649
MEM 41.640625 1611149869.4751
MEM 41.640625 1611149870.4845
MEM 41.640625 1611149871.4924
MEM 41.640625 1611149872.4984
MEM 41.640625 1611149873.5085
MEM 41.640625 1611149874.5147
MEM 41.640625 1611149875.5245
MEM 41.640625 1611149876.5350
MEM 41.640625 1611149877.5450
MEM 41.640625 1611149878.5550
MEM 41.640625 1611149879.5626
MEM 41.640625 1611149880.5725
MEM 41.640625 1611149881.5811
MEM 41.640625 1611149882.5908
MEM 41.640625 1611149883.5990
MEM 41.640625 1611149884.6045
MEM 41.640625 1611149885.6131
MEM 41.640625 1611149886.6193
MEM 41.640625 1611149887.6267
MEM 41.640625 1611149888.6337
MEM 41.640625 1611149889.6441
MEM 41.640625 1611149890.6497
MEM 41.640625 1611149891.6577
MEM 41.640625 1611149892.6648
MEM 41.640625 1611149893.6718
MEM 41.640625 1611149894.6815
MEM 41.640625 1611149895.6865
MEM 41.640625 1611149896.6972
MEM 41.640625 1611149897.7075
MEM 41.640625 1611149898.7144
MEM 41.640625 1611149899.7243
MEM 41.640625 1611149900.7346
MEM 41.640625 1611149901.7440
MEM 41.640625 1611149902.7495
MEM 41.644531 1611149903.7602
MEM 41.644531 1611149904.7677
MEM 41.644531 1611149905.7768
MEM 41.644531 1611149906.7837
MEM 41.644531 1611149907.7892
MEM 41.644531 1611149908.7966
MEM 41.648438 1611149909.8042
MEM 41.652344 1611149910.8135
MEM 41.660156 1611149911.8233
MEM 41.660156 1611149912.8312
MEM 41.660156 1611149913.8368
MEM 41.660156 1611149914.8465
MEM 41.660156 1611149915.8554
MEM 41.660156 1611149916.8639
